tourney_date,tourney_name,surface,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,l_SvGms,winner_rank,loser_rank,winner_rank_points,loser_rank_points
20000110,Auckland,Hard,103163,Tommy Haas,R,188,GER,21.7,101543,Jeff Tarango,L,180,USA,31.1,7-5 4-6 7-5,3,108,18,4,96,49,39,28,3,5,17,7,8,106,55,39,29,4,7,17,11,63,1612,595
20000110,Auckland,Hard,102607,Juan Balcells,R,190,ESP,24.5,102644,Franco Squillari,L,183,ARG,24.3,7-5 7-5,3,85,5,3,76,52,39,13,5,6,12,5,10,74,32,25,18,3,6,12,211,49,157,723
20000110,Auckland,Hard,103252,Alberto Martin,R,175,ESP,21.3,102238,Alberto Berasategui,R,173,ESP,26.5,6-3 6-1,3,56,0,0,55,35,25,12,1,1,8,0,6,56,33,20,7,7,11,8,48,59,726,649
20000110,Auckland,Hard,103507,Juan Carlos Ferrero,R,183,ESP,19.9,103819,Roger Federer,R,185,SUI,18.4,6-4 6-4,3,68,5,1,53,28,26,15,0,0,10,11,2,70,43,29,14,6,8,10,45,61,768,616
20000110,Auckland,Hard,102103,Michael Sell,R,180,USA,27.3,102765,Nicolas Escude,R,185,FRA,23.7,0-6 7-6(7) 6-1,3,115,1,2,98,66,39,14,6,11,13,8,8,92,46,34,18,5,9,12,167,34,219,873
20000110,Auckland,Hard,102021,Michael Chang,R,175,USA,27.8,101647,Byron Black,R,175,ZIM,30.2,7-5 4-6 7-6(1),3,140,5,3,101,59,45,19,1,4,17,3,3,105,65,41,21,2,5,17,50,70,722,563
20000110,Auckland,Hard,101320,Magnus Gustafsson,R,185,SWE,33,103066,Mark Nielsen,R,185,NZL,22.2,6-4 6-4,3,84,4,8,60,31,28,14,2,3,10,1,5,69,45,28,12,9,12,10,60,246,626,135
20000110,Auckland,Hard,102563,Thomas Johansson,R,180,SWE,24.7,102785,Glenn Weiner,R,188,USA,23.7,7-6(5) 6-1,3,77,8,2,69,29,26,20,1,2,10,7,3,64,41,24,13,3,6,9,43,334,785,88
20000110,Auckland,Hard,102854,Sjeng Schalken,R,193,NED,23.3,101964,Goran Ivanisevic,L,193,CRO,28.3,6-1 4-6 6-4,3,90,5,3,68,43,30,17,4,7,13,11,10,87,43,33,14,5,11,14,37,68,843,571
20000110,Auckland,Hard,102494,Tomas Behrend,R,193,GER,25,103082,Markus Hantschk,R,188,GER,22.1,6-2 6-2,3,57,3,1,41,28,23,10,2,2,8,0,3,63,29,21,11,5,9,8,115,95,344,416
20000110,Auckland,Hard,103292,Gaston Gaudio,R,175,ARG,21,102227,Sargis Sargsian,R,180,ARM,26.6,7-5 4-6 7-5,3,144,1,9,111,65,45,22,9,13,17,2,5,110,55,38,26,3,8,17,72,52,553,715
20000110,Auckland,Hard,102562,Jiri Novak,R,190,CZE,24.8,102035,Jonas Bjorkman,R,183,SWE,27.8,7-5 6-4,3,96,7,3,65,44,32,12,2,4,11,8,4,100,59,38,17,14,18,11,38,76,831,514
20000110,Auckland,Hard,101820,Marc Rosset,R,201,SUI,29.1,102950,Fernando Vicente,R,180,ESP,22.8,6-4 6-3,3,59,3,3,49,30,23,12,2,3,9,2,7,55,32,20,8,1,5,10,46,53,761,707
20000110,Auckland,Hard,102770,John Van Lottum,R,185,NED,23.7,102162,Chris Woodruff,R,188,USA,27,6-1 6-3,3,70,5,1,46,22,19,15,3,3,8,0,5,66,39,24,10,7,11,8,66,56,585,685
20000110,Auckland,Hard,102998,Jan Michael Gambill,R,190,USA,22.6,101735,Richard Fromberg,R,196,AUS,29.7,4-6 6-3 6-4,3,96,16,5,87,48,38,22,2,4,15,14,4,78,47,36,13,2,5,14,57,80,683,475
20000110,Auckland,Hard,102796,Magnus Norman,R,188,SWE,23.6,102239,Francisco Costa,R,180,BRA,26.5,6-2 7-5,3,67,11,1,53,31,26,15,0,0,10,4,0,51,28,21,11,2,5,10,14,149,1498,251
20000110,Auckland,Hard,102607,Juan Balcells,R,190,ESP,24.5,103163,Tommy Haas,R,188,GER,21.7,6-4 7-5,3,76,14,0,62,45,37,11,2,2,11,9,4,91,42,28,26,4,6,11,211,11,157,1612
20000110,Auckland,Hard,103507,Juan Carlos Ferrero,R,183,ESP,19.9,103252,Alberto Martin,R,175,ESP,21.3,6-7(2) 6-2 6-4,3,161,4,6,140,68,44,34,12,15,15,2,3,105,76,44,14,10,16,15,45,48,768,726
20000110,Auckland,Hard,102021,Michael Chang,R,175,USA,27.8,102103,Michael Sell,R,180,USA,27.3,4-6 6-4 7-6(1),3,151,4,2,112,69,43,23,5,9,16,2,2,96,65,40,18,8,12,16,50,167,722,219
20000110,Auckland,Hard,101320,Magnus Gustafsson,R,185,SWE,33,102563,Thomas Johansson,R,180,SWE,24.7,6-2 6-3,3,72,2,4,56,30,24,15,9,9,8,2,6,59,25,17,14,5,9,9,60,43,626,785
20000110,Auckland,Hard,102854,Sjeng Schalken,R,193,NED,23.3,102494,Tomas Behrend,R,193,GER,25,6-4 6-1,3,62,6,5,53,29,25,10,2,3,8,0,2,57,32,19,8,2,7,9,37,115,843,344
20000110,Auckland,Hard,103292,Gaston Gaudio,R,175,ARG,21,102562,Jiri Novak,R,190,CZE,24.8,6-4 6-7(4) 7-6(4),3,143,0,6,132,91,57,23,9,13,17,3,5,121,71,49,23,9,14,17,72,38,553,831
20000110,Auckland,Hard,101820,Marc Rosset,R,201,SUI,29.1,102770,John Van Lottum,R,185,NED,23.7,6-3 6-2,3,81,9,2,79,47,35,13,5,6,9,2,3,47,24,14,10,2,6,8,46,66,761,585
20000110,Auckland,Hard,102796,Magnus Norman,R,188,SWE,23.6,102998,Jan Michael Gambill,R,190,USA,22.6,6-3 6-3,3,74,3,2,63,40,31,12,3,3,9,7,4,54,24,17,15,7,10,9,14,57,1498,683
20000110,Auckland,Hard,102607,Juan Balcells,R,190,ESP,24.5,103507,Juan Carlos Ferrero,R,183,ESP,19.9,4-6 6-3 6-1,3,92,4,2,85,63,46,6,5,7,13,4,5,70,35,24,17,4,9,13,211,45,157,768
