"player1_id","player2_id","player1_name","player2_name","player1_ioc","player2_ioc","player1_age","player2_age","player1_ht","player2_ht","player1_hand","player2_hand","player1_ace","player2_ace","player1_df","player2_df","player1_svpt","player2_svpt","player1_1stin","player2_1stin","player1_1stwon","player2_1stwon","player1_2ndwon","player2_2ndwon","player1_bpsaved","player2_bpsaved","player1_bpfaced","player2_bpfaced","player1_svgms","player2_svgms","player1_rank","player2_rank","player1_rank_pts","player2_rank_pts","surface","tourney_name","tourney_date","best_of","minutes","y"
103163,101543,"Tommy Haas","Jeff Tarango","GER","USA",21.7,31.1,188,180,"R","L",18,7,4,8,96,106,49,55,39,39,28,29,3,4,5,7,17,17,11,63,1612,595,"Hard","Auckland",20000110,3,108,1
102644,102607,"Franco Squillari","Juan Balcells","ARG","ESP",24.3,24.5,183,190,"L","R",5,5,10,3,74,76,32,52,25,39,18,13,3,5,6,6,12,12,49,211,723,157,"Hard","Auckland",20000110,3,85,0
103252,102238,"Alberto Martin","Alberto Berasategui","ESP","ESP",21.3,26.5,175,173,"R","R",0,0,0,6,55,56,35,33,25,20,12,7,1,7,1,11,8,8,48,59,726,649,"Hard","Auckland",20000110,3,56,1
103819,103507,"Roger Federer","Juan Carlos Ferrero","SUI","ESP",18.4,19.9,185,183,"R","R",11,5,2,1,70,53,43,28,29,26,14,15,6,0,8,0,10,10,61,45,616,768,"Hard","Auckland",20000110,3,68,0
102765,102103,"Nicolas Escude","Michael Sell","FRA","USA",23.7,27.3,185,180,"R","R",8,1,8,2,92,98,46,66,34,39,18,14,5,6,9,11,12,13,34,167,873,219,"Hard","Auckland",20000110,3,115,0
102021,101647,"Michael Chang","Byron Black","USA","ZIM",27.8,30.2,175,175,"R","R",5,3,3,3,101,105,59,65,45,41,19,21,1,2,4,5,17,17,50,70,722,563,"Hard","Auckland",20000110,3,140,1
103066,101320,"Mark Nielsen","Magnus Gustafsson","NZL","SWE",22.2,33,185,185,"R","R",1,4,5,8,69,60,45,31,28,28,12,14,9,2,12,3,10,10,246,60,135,626,"Hard","Auckland",20000110,3,84,0
102785,102563,"Glenn Weiner","Thomas Johansson","USA","SWE",23.7,24.7,188,180,"R","R",7,8,3,2,64,69,41,29,24,26,13,20,3,1,6,2,9,10,334,43,88,785,"Hard","Auckland",20000110,3,77,0
101964,102854,"Goran Ivanisevic","Sjeng Schalken","CRO","NED",28.3,23.3,193,193,"L","R",11,5,10,3,87,68,43,43,33,30,14,17,5,4,11,7,14,13,68,37,571,843,"Hard","Auckland",20000110,3,90,0
102494,103082,"Tomas Behrend","Markus Hantschk","GER","GER",25,22.1,193,188,"R","R",3,0,1,3,41,63,28,29,23,21,10,11,2,5,2,9,8,8,115,95,344,416,"Hard","Auckland",20000110,3,57,1
102227,103292,"Sargis Sargsian","Gaston Gaudio","ARM","ARG",26.6,21,180,175,"R","R",2,1,5,9,110,111,55,65,38,45,26,22,3,9,8,13,17,17,52,72,715,553,"Hard","Auckland",20000110,3,144,0
102562,102035,"Jiri Novak","Jonas Bjorkman","CZE","SWE",24.8,27.8,190,183,"R","R",7,8,3,4,65,100,44,59,32,38,12,17,2,14,4,18,11,11,38,76,831,514,"Hard","Auckland",20000110,3,96,1
102950,101820,"Fernando Vicente","Marc Rosset","ESP","SUI",22.8,29.1,180,201,"R","R",2,3,7,3,55,49,32,30,20,23,8,12,1,2,5,3,10,9,53,46,707,761,"Hard","Auckland",20000110,3,59,0
102162,102770,"Chris Woodruff","John Van Lottum","USA","NED",27,23.7,188,185,"R","R",0,5,5,1,66,46,39,22,24,19,10,15,7,3,11,3,8,8,56,66,685,585,"Hard","Auckland",20000110,3,70,0
102998,101735,"Jan Michael Gambill","Richard Fromberg","USA","AUS",22.6,29.7,190,196,"R","R",16,14,5,4,87,78,48,47,38,36,22,13,2,2,4,5,15,14,57,80,683,475,"Hard","Auckland",20000110,3,96,1
102239,102796,"Francisco Costa","Magnus Norman","BRA","SWE",26.5,23.6,180,188,"R","R",4,11,0,1,51,53,28,31,21,26,11,15,2,0,5,0,10,10,149,14,251,1498,"Hard","Auckland",20000110,3,67,0
102607,103163,"Juan Balcells","Tommy Haas","ESP","GER",24.5,21.7,190,188,"R","R",14,9,0,4,62,91,45,42,37,28,11,26,2,4,2,6,11,11,211,11,157,1612,"Hard","Auckland",20000110,3,76,1
103507,103252,"Juan Carlos Ferrero","Alberto Martin","ESP","ESP",19.9,21.3,183,175,"R","R",4,2,6,3,140,105,68,76,44,44,34,14,12,10,15,16,15,15,45,48,768,726,"Hard","Auckland",20000110,3,161,1
102021,102103,"Michael Chang","Michael Sell","USA","USA",27.8,27.3,175,180,"R","R",4,2,2,2,112,96,69,65,43,40,23,18,5,8,9,12,16,16,50,167,722,219,"Hard","Auckland",20000110,3,151,1
102563,101320,"Thomas Johansson","Magnus Gustafsson","SWE","SWE",24.7,33,180,185,"R","R",2,2,6,4,59,56,25,30,17,24,14,15,5,9,9,9,9,8,43,60,785,626,"Hard","Auckland",20000110,3,72,0
102494,102854,"Tomas Behrend","Sjeng Schalken","GER","NED",25,23.3,193,193,"R","R",0,6,2,5,57,53,32,29,19,25,8,10,2,2,7,3,9,8,115,37,344,843,"Hard","Auckland",20000110,3,62,0
102562,103292,"Jiri Novak","Gaston Gaudio","CZE","ARG",24.8,21,190,175,"R","R",3,0,5,6,121,132,71,91,49,57,23,23,9,9,14,13,17,17,38,72,831,553,"Hard","Auckland",20000110,3,143,0
102770,101820,"John Van Lottum","Marc Rosset","NED","SUI",23.7,29.1,185,201,"R","R",2,9,3,2,47,79,24,47,14,35,10,13,2,5,6,6,8,9,66,46,585,761,"Hard","Auckland",20000110,3,81,0
102998,102796,"Jan Michael Gambill","Magnus Norman","USA","SWE",22.6,23.6,190,188,"R","R",7,3,4,2,54,63,24,40,17,31,15,12,7,3,10,3,9,9,57,14,683,1498,"Hard","Auckland",20000110,3,74,0
103507,102607,"Juan Carlos Ferrero","Juan Balcells","ESP","ESP",19.9,24.5,183,190,"R","R",4,4,5,2,70,85,35,63,24,46,17,6,4,5,9,7,13,13,45,211,768,157,"Hard","Auckland",20000110,3,92,0
101320,102021,"Magnus Gustafsson","Michael Chang","SWE","USA",33,27.8,185,175,"R","R",6,0,6,1,85,68,55,35,37,24,14,16,9,6,12,9,11,12,60,50,626,722,"Hard","Auckland",20000110,3,113,0
102854,103292,"Sjeng Schalken","Gaston Gaudio","NED","ARG",23.3,21,193,175,"R","R",2,1,1,2,48,60,24,41,13,30,10,9,7,8,11,8,7,8,37,72,843,553,"Hard","Auckland",20000110,3,61,0
101820,102796,"Marc Rosset","Magnus Norman","SUI","SWE",29.1,23.6,201,188,"R","R",5,7,7,2,55,55,27,31,21,25,7,12,4,2,8,2,8,8,46,14,761,1498,"Hard","Auckland",20000110,3,65,0
102021,102607,"Michael Chang","Juan Balcells","USA","ESP",27.8,24.5,175,190,"R","R",5,5,0,2,82,90,51,72,36,43,16,9,8,8,10,12,13,13,50,211,722,157,"Hard","Auckland",20000110,3,105,1
102796,103292,"Magnus Norman","Gaston Gaudio","SWE","ARG",23.6,21,188,175,"R","R",4,1,1,3,59,73,38,46,26,25,13,13,4,5,7,10,11,11,14,72,1498,553,"Hard","Auckland",20000110,3,90,1
102021,102796,"Michael Chang","Magnus Norman","USA","SWE",27.8,23.6,175,188,"R","R",3,6,4,8,102,87,54,50,38,41,18,12,5,3,10,7,15,15,50,14,722,1498,"Hard","Auckland",20000110,3,140,0
103017,102247,"Nicolas Kiefer","Andrea Gaudenzi","GER","ITA",22.8,26.8,183,183,"R","R",0,1,4,3,53,50,24,35,11,19,12,8,5,4,10,8,8,8,8,74,1874,575,"Clay","St. Poelten",20000522,3,76,0
103242,102287,"Juan Giner","Albert Portas","ESP","ESP",21.8,26.5,178,188,"R","R",0,4,2,6,71,74,46,35,22,26,13,22,3,2,9,5,12,13,399,71,63,589,"Clay","St. Poelten",20000522,3,87,0
102987,102869,"Andre Sa","Galo Blanco","BRA","ESP",23,23.6,185,173,"R","R",0,1,3,0,25,21,11,12,4,7,4,7,0,0,4,1,4,5,86,70,481,593,"Clay","St. Poelten",20000522,3,36,0
103082,103819,"Markus Hantschk","Roger Federer","GER","SUI",22.5,18.7,188,185,"R","R",0,2,0,2,36,64,17,36,14,19,15,10,0,6,0,11,7,8,94,54,428,735,"Clay","St. Poelten",20000522,3,54,1
102446,102795,"Andrei Medvedev","Scott Humphries","UKR","USA",25.7,23.9,193,185,"R","R",5,4,5,4,108,104,69,67,46,45,18,12,7,4,12,10,15,16,21,720,1191,15,"Clay","St. Poelten",20000522,3,122,1
102834,103294,"Paul Goldstein","Christophe Rochus","USA","BEL",23.7,21.4,178,170,"R","R",1,2,4,5,94,102,53,66,27,41,19,13,10,9,16,14,11,12,79,93,529,445,"Clay","St. Poelten",20000522,3,112,0
102998,103344,"Jan Michael Gambill","Ivan Ljubicic","USA","CRO",22.9,21.1,190,193,"R","R",6,8,1,2,51,65,33,25,26,18,10,16,0,6,1,10,10,9,67,85,621,488,"Clay","St. Poelten",20000522,3,76,1
