"match_id","player1_id","player2_id","p1_winrate","p1_matches_played","p1_avg_svpt","p1_avg_ace","p1_avg_df","p1_avg_duration","p2_winrate","p2_matches_played","p2_avg_svpt","p2_avg_ace","p2_avg_df","p2_avg_duration","surface","best_of","match_weekday","match_month","season_phase","y"
1,102358,103096,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
2,102533,103819,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
3,102998,101885,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
4,103206,102776,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
5,102401,102796,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
6,101889,101735,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
7,102872,101150,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
8,102434,103252,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
9,103720,101185,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
10,102834,102652,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
11,101727,103103,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
12,102765,103385,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
13,101792,103344,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
14,101833,103444,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
15,102450,102607,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
16,103819,102358,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
17,103206,102998,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
18,102796,101735,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
19,102872,103252,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
20,101727,102652,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
21,101792,102765,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
22,103444,102450,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
23,103206,102358,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
24,103252,102796,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
25,101727,103720,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
26,102450,102765,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
27,102358,102796,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
28,102765,103720,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
29,102358,103720,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
30,101543,103017,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
31,101750,102730,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
32,102644,101733,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
33,102831,102854,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
34,102694,102148,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
35,102869,102770,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
36,102562,102567,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
37,102271,101772,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
38,101964,102025,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
39,102023,103292,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
40,101962,102179,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
41,102950,101888,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
42,101439,102783,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
43,103018,103264,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
44,102548,102456,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
45,101750,103017,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
46,102854,102644,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
47,102770,102148,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
48,102567,102238,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
49,101772,102025,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
50,101962,103292,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
51,102783,101888,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
52,103018,102548,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
53,102854,103017,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
54,102148,102567,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
55,101962,102025,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
56,103018,102783,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
57,102148,103017,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
58,101962,102783,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
59,102148,102783,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
60,103420,102338,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
61,102455,102720,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
62,102689,102259,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
63,102966,102466,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
64,101969,102198,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
65,101647,102965,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
66,103082,102133,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
67,102880,102494,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
68,102538,102087,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
69,101826,103714,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
70,102106,102437,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
71,102369,102233,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
72,101611,103544,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
73,103420,102455,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
74,102966,102259,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
75,102965,101969,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
