
Recursive feature selection

Outer resampling method: Cross-Validated (10 fold) 

Resampling performance over subset size:

 Variables Accuracy  Kappa AccuracySD KappaSD Selected
         2   0.6469 0.2937   0.008726 0.01746         
         3   0.6468 0.2936   0.008170 0.01634         
         4   0.6479 0.2958   0.007332 0.01467         
         5   0.6491 0.2982   0.007571 0.01514         
         6   0.6509 0.3018   0.009399 0.01880         
         7   0.6514 0.3029   0.009329 0.01866         
         8   0.6541 0.3082   0.009582 0.01917         
         9   0.6537 0.3073   0.009289 0.01858         
        10   0.6549 0.3098   0.008689 0.01738         
        11   0.6542 0.3085   0.009502 0.01900         
        12   0.6548 0.3096   0.009539 0.01908         
        13   0.6552 0.3105   0.009508 0.01902         
        14   0.6556 0.3112   0.010266 0.02053         
        15   0.6558 0.3117   0.009783 0.01957         
        16   0.6571 0.3143   0.008215 0.01643        *
        17   0.6564 0.3128   0.008187 0.01638         
        18   0.6569 0.3138   0.007561 0.01513         
        19   0.6560 0.3120   0.007757 0.01552         
        20   0.6553 0.3107   0.007370 0.01474         
        21   0.6539 0.3078   0.008517 0.01704         
        22   0.6541 0.3082   0.007413 0.01483         
        23   0.6533 0.3067   0.008195 0.01639         
        24   0.6522 0.3043   0.007817 0.01564         
        25   0.6540 0.3080   0.008076 0.01616         
        26   0.6524 0.3049   0.009139 0.01828         
        27   0.6521 0.3042   0.009751 0.01951         
        28   0.6528 0.3057   0.009877 0.01976         
        29   0.6529 0.3059   0.008277 0.01656         
        30   0.6531 0.3061   0.008227 0.01646         
        31   0.6530 0.3060   0.008536 0.01708         
        32   0.6528 0.3057   0.008230 0.01646         
        33   0.6528 0.3056   0.009081 0.01816         
        34   0.6535 0.3070   0.008354 0.01671         
        35   0.6536 0.3072   0.008345 0.01669         
        36   0.6538 0.3076   0.008949 0.01790         
        37   0.6528 0.3057   0.009479 0.01896         
        38   0.6533 0.3066   0.009390 0.01878         
        39   0.6539 0.3078   0.009576 0.01915         
        40   0.6541 0.3081   0.009158 0.01832         
        41   0.6538 0.3076   0.009451 0.01890         
        42   0.6536 0.3071   0.009382 0.01876         
        43   0.6537 0.3073   0.009354 0.01871         
        44   0.6535 0.3070   0.009678 0.01936         
        45   0.6533 0.3067   0.009799 0.01960         
        46   0.6533 0.3067   0.009799 0.01960         
        47   0.6533 0.3067   0.009799 0.01960         
        48   0.6533 0.3067   0.009799 0.01960         
        49   0.6533 0.3067   0.009799 0.01960         
        50   0.6533 0.3067   0.009799 0.01960         
        51   0.6533 0.3067   0.009799 0.01960         
        52   0.6533 0.3067   0.009799 0.01960         
        53   0.6533 0.3067   0.009799 0.01960         
        54   0.6533 0.3067   0.009799 0.01960         
        55   0.6537 0.3073   0.009511 0.01902         

The top 5 variables (out of 16):
   log_rank_diff, player1_age, player2_age, player1_rank_pts, player2_rank_pts

