
Recursive feature selection

Outer resampling method: Cross-Validated (10 fold) 

Resampling performance over subset size:

 Variables Accuracy  Kappa AccuracySD KappaSD Selected
         2   0.6469 0.2937   0.008726 0.01746         
         3   0.6468 0.2936   0.008170 0.01634         
         4   0.6479 0.2958   0.007332 0.01467         
         5   0.6491 0.2982   0.007571 0.01514         
         6   0.6509 0.3018   0.009399 0.01880         
         7   0.6514 0.3029   0.009329 0.01866         
         8   0.6541 0.3082   0.009582 0.01917         
         9   0.6537 0.3073   0.009289 0.01858         
        10   0.6549 0.3098   0.008689 0.01738         
        11   0.6542 0.3085   0.009502 0.01900         
        12   0.6548 0.3096   0.009539 0.01908         
        13   0.6552 0.3105   0.009508 0.01902         
        14   0.6556 0.3111   0.010283 0.02057         
        15   0.6558 0.3117   0.009783 0.01957         
        16   0.6571 0.3143   0.008215 0.01643        *
        17   0.6564 0.3128   0.008187 0.01638         
        18   0.6569 0.3138   0.007561 0.01513         
        19   0.6565 0.3129   0.007406 0.01481         
        20   0.6553 0.3107   0.007370 0.01474         
        21   0.6539 0.3078   0.008517 0.01704         
        22   0.6541 0.3082   0.007413 0.01483         
        23   0.6534 0.3069   0.008114 0.01623         
        24   0.6524 0.3049   0.007674 0.01535         
        25   0.6540 0.3080   0.008076 0.01616         
        26   0.6525 0.3050   0.009106 0.01822         
        27   0.6527 0.3053   0.009349 0.01870         
        28   0.6528 0.3057   0.009877 0.01976         
        29   0.6528 0.3056   0.008395 0.01679         
        30   0.6530 0.3060   0.008260 0.01652         
        31   0.6531 0.3061   0.008496 0.01700         
        32   0.6531 0.3061   0.008076 0.01616         
        33   0.6527 0.3053   0.009169 0.01834         
        34   0.6534 0.3069   0.008393 0.01679         
        35   0.6533 0.3067   0.008561 0.01712         
        36   0.6541 0.3081   0.008792 0.01759         
        37   0.6531 0.3062   0.009289 0.01858         
        38   0.6528 0.3057   0.009710 0.01942         
        39   0.6533 0.3066   0.010034 0.02007         
        40   0.6536 0.3072   0.009507 0.01902         
        41   0.6538 0.3077   0.009353 0.01871         
        42   0.6536 0.3071   0.009361 0.01872         
        43   0.6536 0.3072   0.009435 0.01887         
        44   0.6535 0.3070   0.009678 0.01936         
        45   0.6535 0.3070   0.009678 0.01936         
        46   0.6535 0.3070   0.009678 0.01936         
        47   0.6535 0.3070   0.009678 0.01936         
        48   0.6535 0.3070   0.009678 0.01936         
        49   0.6535 0.3070   0.009678 0.01936         
        50   0.6535 0.3070   0.009678 0.01936         
        51   0.6535 0.3070   0.009678 0.01936         
        52   0.6535 0.3070   0.009678 0.01936         
        53   0.6535 0.3070   0.009678 0.01936         
        54   0.6535 0.3070   0.009678 0.01936         
        55   0.6534 0.3069   0.009715 0.01943         

The top 5 variables (out of 16):
   log_rank_diff, player1_age, player2_age, player1_rank_pts, player2_rank_pts

