units1,units2,dropout1,learning_rate,mean_auc
128,64,0.2,0.001,0.7031734425153082
64,64,0.2,0.001,0.7085425871615058
128,32,0.2,0.001,0.707579942946333
64,32,0.2,0.001,0.7084490118462968
128,64,0.4,0.001,0.7102856045004201
64,64,0.4,0.001,0.7134963168682545
128,32,0.4,0.001,0.710894075838104
64,32,0.4,0.001,0.712686967006903
128,64,0.2,5e-4,0.7072140955750285
64,64,0.2,5e-4,0.7095729571340142
128,32,0.2,5e-4,0.7097614480396759
64,32,0.2,5e-4,0.7123860277157457
128,64,0.4,5e-4,0.7112018623388663
64,64,0.4,5e-4,0.7130717111490444
128,32,0.4,5e-4,0.7117904728304135
64,32,0.4,5e-4,0.7135103209653366
