Model,Variant,Split,Accuracy,Precision,Recall,F1_Score,AUC,Log_Loss,Brier_Score,Source
BaselineModel_RankPoints,Baseline_RankPoints,Train,0.6094935296742525,0.5712725684333139,0.8758790043531645,0.6915179554968054,0.7026048883560732,0.6351527508893058,0.2215724153741584,Models/BaselineModel_RankPoints/metrics_baseline_rankpoints.csv
BaselineModel_RankPoints,Baseline_RankPoints,Test,0.6105687882337628,0.5748339860378001,0.8721260656161198,0.6929392446633825,0.7026472575827537,0.636633190498369,0.2217973886840159,Models/BaselineModel_RankPoints/metrics_baseline_rankpoints.csv
BaselineModel,Baseline,Test,0.6484446179877652,0.6519480519480519,0.648411263239473,0.6501748478176402,0.6484448761108174,12.142292729748013,0.3515553820122337,Models/BaselineModel/metrics_baseline.csv
LR_Tuned_Final,Default,Train,0.6563476126729139,0.6568737385063915,0.6538676191539234,0.6553672316384181,0.716891039818404,0.6147134972358835,0.21376132893261943,Models/LR_Tuned_Final/RFE_Bootstrapping/metrics_train_vs_test.csv
LR_Tuned_Final,Default,Test,0.6487049329688923,0.6514994829369183,0.650994575045208,0.6512469311280528,0.7115964812745134,0.6198630209314621,0.215743305029305,Models/LR_Tuned_Final/RFE_Bootstrapping/metrics_train_vs_test.csv
LR_Tuned,Default,Train,0.6563476126729139,0.6568737385063915,0.6538676191539234,0.6553672316384181,0.716891039818404,0.6147134972358835,0.21376132893261943,Models/LR_Tuned/RFE_Bootstrapping/metrics_train_vs_test.csv
LR_Tuned,Default,Test,0.6487049329688923,0.6514994829369183,0.650994575045208,0.6512469311280528,0.7115964812745134,0.6198630209314621,0.215743305029305,Models/LR_Tuned/RFE_Bootstrapping/metrics_train_vs_test.csv
LR_Tuned,Default,Train,0.6563476126729139,0.6568737385063915,0.6538676191539234,0.6553672316384181,0.716891039818404,0.6147134972358835,0.21376132893261943,Models/LR_Tuned/RFE_CrossValidation/metrics_train_vs_test.csv
LR_Tuned,Default,Test,0.6487049329688923,0.6514994829369183,0.650994575045208,0.6512469311280528,0.7115964812745134,0.6198630209314621,0.215743305029305,Models/LR_Tuned/RFE_CrossValidation/metrics_train_vs_test.csv
LR,Default,Train,0.6556782686300758,0.6557468694096601,0.6546489563567363,0.6551974529408479,0.7183486780519489,0.6136179848549778,0.2132876281346237,Models/LR/metrics_train_vs_test.csv
LR,Default,Test,0.6518287127424184,0.6558103178738927,0.6502195815034875,0.653002983525749,0.7121248674798993,0.6193127991715184,0.21555476662198664,Models/LR/metrics_train_vs_test.csv
LR,Default,Test,0.6518287127424184,0.6558103178738927,0.6502195815034875,0.653002983525749,0.7121248674798993,0.6193127991715184,0.21555476662198664,Models/LR/model_metrics.csv
RF_Tuned,Default,Train,0.6574631860776439,0.6526543878656554,0.6723964728206273,0.6623783605475837,0.7320990579213633,1.0697170745092923,0.2659812079428826,Models/RF_Tuned/metrics_train_vs_test.csv
RF_Tuned,Default,Test,0.6502668228556553,0.6494194851085311,0.6646861276156032,0.656964126133027,0.7054040212921282,0.7460624447393603,0.27716582480801766,Models/RF_Tuned/metrics_train_vs_test.csv
RF,Default,Train,0.6596385542168675,0.656513640845842,0.6688246456077688,0.6626119650558443,0.7270425867292947,0.8582757656629275,0.2516168567603748,Models/RF/metrics_train_vs_test.csv
RF,Default,Test,0.6513080827801639,0.6514997458057956,0.6621028158098683,0.6567584881486227,0.7049927379933613,0.969590984974892,0.2626199005596772,Models/RF/metrics_train_vs_test.csv
RF,Default,Test,0.650006507874528,0.654308093994778,0.647377938517179,0.650824568237891,0.703138066495476,0.627155237716035,0.218759705323441,Models/RF/model_metrics.csv
