match_id,date,player_id,opponent_id,ace,df,svpt,1stin,1stwon,2ndwon,bpsaved,bpfaced,svgms
19279,20141020,100644,105777,4,3,76,49,32,14,1,5,13
19738,20150216,100644,104792,2,1,69,41,29,10,5,10,10
19789,20150223,100644,104947,6,1,54,32,22,11,4,7,9
19900,20150325,100644,105032,22,2,108,74,58,20,6,6,17
19931,20150325,100644,104586,3,2,69,39,27,16,3,5,10
20163,20160118,100644,104918,5,7,91,57,36,11,7,13,12
20220,20160201,100644,104563,9,3,118,79,56,22,7,8,17
20230,20160201,100644,105227,8,1,86,58,41,14,6,8,12
20237,20160201,100644,103582,8,7,122,85,59,18,16,18,16
20241,20160201,100644,103908,15,0,74,59,45,7,1,4,12
20293,20160208,100644,105577,0,3,58,31,24,18,1,1,10
20305,20160208,100644,104468,6,2,110,76,53,19,3,6,16
20312,20160208,100644,104792,4,4,75,49,36,11,4,6,10
20345,20160215,100644,103898,10,5,82,51,39,17,4,5,12
20357,20160215,100644,104607,9,5,81,56,41,12,4,8,15
20456,20160304,100644,104607,18,10,167,97,75,37,6,10,25
20458,20160304,100644,104586,6,4,83,55,27,17,6,12,12
20483,20160307,100644,104471,7,5,85,54,42,15,4,7,15
20513,20160307,100644,105777,13,6,106,67,53,18,9,11,15
20526,20160307,100644,104468,4,3,44,25,20,11,1,2,8
20537,20160307,100644,104745,9,11,97,54,37,15,3,10,15
20569,20160321,100644,111581,9,5,80,53,40,16,2,4,12
20665,20160718,100644,126203,7,4,63,38,33,11,5,5,9
20676,20160718,100644,104291,4,6,78,43,34,20,2,3,14
20679,20160718,100644,105332,5,4,44,29,25,8,2,2,8
20681,20160718,100644,104792,3,3,43,19,12,10,3,7,8
20701,20160725,100644,104229,3,7,67,36,23,15,4,7,10
20847,20160815,100644,105216,4,9,93,48,38,19,7,12,15
20967,20160829,100644,104978,4,7,104,64,50,23,2,4,19
21006,20160829,100644,105554,6,9,140,88,58,24,8,14,20
21096,20160919,100644,111575,5,3,65,41,31,15,1,2,11
21107,20160919,100644,106421,2,2,58,33,25,13,5,7,10
21114,20160919,100644,104022,8,2,46,31,28,7,2,2,8
21118,20160919,100644,104607,8,4,70,46,34,14,4,4,10
21120,20160919,100644,104527,2,6,109,67,45,21,8,11,15
21177,20161003,100644,106233,11,7,93,51,36,22,4,6,13
21183,20161003,100644,106058,8,2,64,47,33,10,2,2,9
21188,20161003,100644,103970,4,7,96,50,29,16,4,12,16
21231,20161010,100644,104545,9,4,56,30,23,15,5,6,9
21249,20161010,100644,105227,7,6,91,61,45,15,3,4,13
21258,20161010,100644,104542,8,6,110,64,46,22,5,10,16
21333,20161017,100644,105173,7,0,62,36,25,19,1,2,11
21338,20161017,100644,104735,6,0,58,36,26,10,5,8,10
21341,20161017,100644,106058,4,5,119,72,51,26,4,7,17
21605,20170116,100644,104898,17,10,144,92,69,24,12,16,23
21647,20170116,100644,126207,9,6,99,55,41,26,5,5,14
21669,20170116,100644,104745,19,11,172,108,77,27,11,16,24
21719,20170203,100644,105963,17,3,85,52,39,24,4,4,14
21720,20170203,100644,104327,21,6,125,77,58,24,4,8,20
21752,20170206,100644,105379,10,10,115,65,49,17,11,15,16
21757,20170206,100644,104871,13,7,74,43,38,18,2,3,14
21759,20170206,100644,104542,6,6,106,52,39,33,3,4,15
21761,20170206,100644,104755,8,4,72,46,37,11,0,1,11
21811,20170213,100644,106233,7,1,85,59,36,16,5,9,14
21871,20170220,100644,103917,10,2,68,43,35,17,0,1,12
22093,20170320,100644,104545,9,4,112,71,60,27,3,4,18
22101,20170320,100644,104527,2,2,73,42,32,21,4,5,12
22196,20170731,100644,111442,7,4,95,58,42,21,3,6,15
22206,20170731,100644,105815,7,1,64,44,36,12,1,2,12
22211,20170731,100644,106421,7,2,47,30,25,12,2,2,9
22248,20170807,100644,104755,13,3,114,74,52,23,5,7,16
