match_id,date,player_id,opponent_id,ace,df,svpt,1stin,1stwon,2ndwon,bpsaved,bpfaced,svgms,h_ace,h_df,h_svpt,h_1stin,h_1stwon,h_2ndwon,h_bpsaved,h_bpfaced,h_svgms
19279,20141020,100644,105777,4,3,76,49,32,14,1,5,13,0,0,0,0,0,0,0,0,0
19738,20150216,100644,104792,2,1,69,41,29,10,5,10,10,4,3,76,49,32,14,1,5,13
19789,20150223,100644,104947,6,1,54,32,22,11,4,7,9,3,2,72.5,45,30.5,12,3,7.5,11.5
19900,20150325,100644,105032,22,2,108,74,58,20,6,6,17,4,1.6666666666666667,66.33333333333333,40.666666666666664,27.666666666666668,11.666666666666666,3.3333333333333335,7.333333333333333,10.666666666666666
19931,20150325,100644,104586,3,2,69,39,27,16,3,5,10,8.5,1.75,76.75,49,35.25,13.75,4,7,12.25
20163,20160118,100644,104918,5,7,91,57,36,11,7,13,12,7.4,1.8,75.2,47,33.6,14.2,3.8,6.6,11.8
20220,20160201,100644,104563,9,3,118,79,56,22,7,8,17,7,2.6666666666666665,77.83333333333333,48.666666666666664,34,13.666666666666666,4.333333333333333,7.666666666666667,11.833333333333334
20230,20160201,100644,105227,8,1,86,58,41,14,6,8,12,7.285714285714286,2.7142857142857144,83.57142857142857,53,37.142857142857146,14.857142857142858,4.714285714285714,7.714285714285714,12.571428571428571
20237,20160201,100644,103582,8,7,122,85,59,18,16,18,16,7.375,2.5,83.875,53.625,37.625,14.75,4.875,7.75,12.5
20241,20160201,100644,103908,15,0,74,59,45,7,1,4,12,7.444444444444445,3,88.11111111111111,57.111111111111114,40,15.11111111111111,6.111111111111111,8.88888888888889,12.88888888888889
20293,20160208,100644,105577,0,3,58,31,24,18,1,1,10,8.2,2.7,86.7,57.3,40.5,14.3,5.6,8.4,12.8
20305,20160208,100644,104468,6,2,110,76,53,19,3,6,16,7.8,2.7,84.9,55.5,39.7,14.7,5.6,8,12.5
