player1_age,player2_age,player1_ht,player2_ht,p1_hand_R,p1_hand_L,p1_hand_U,p2_hand_R,p2_hand_L,p2_hand_U,player1_rank,player1_rank_pts,player2_rank,player2_rank_pts,log_rank_diff,rankpoints_diff,ace_diff,df_diff,in1_pct_diff,won1_pct_diff,sv_win_pct_diff,bp_saved_pct_diff,bp_per_game_diff,p1_ace_percent,p1_doublefault_percent,p1_1in_percent,p1_1won_percent,p1_serve_win_percent,p1_breakp_saved,p1_breakp_succeed,p2_ace_percent,p2_doublefault_percent,p2_1in_percent,p2_1won_percent,p2_serve_win_percent,p2_breakp_saved,p2_breakp_succeed,player1_h_ace,player1_h_df,player1_h_svpt,player1_h_1stin,player1_h_1stwon,player1_h_2ndwon,player1_h_bpsaved,player1_h_bpfaced,player1_h_svgms,player2_h_ace,player2_h_df,player2_h_svpt,player2_h_1stin,player2_h_1stwon,player2_h_2ndwon,player2_h_bpsaved,player2_h_bpfaced,player2_h_svgms,y
21.5,22.5,175,190,1,0,0,1,0,0,27,1298,58,803,0.76460614454209,495,-0.03815937149270482,-0.00673400673400673,0.03647586980920314,-0.07499999999999996,-0.14141414141414144,1,0.5047619047619047,0.06060606060606061,0.0303030303030303,0.5303030303030303,0.8,0.6363636363636364,1,1,0.09876543209876544,0.03703703703703703,0.49382716049382713,0.875,0.7777777777777778,0,0,4,2,66,35,28,14,4,4,7,8,3,81,40,35,28,0,1,15,1
23.5,29.6,188,196,1,0,0,1,0,0,15,1748,78,572,1.64865862558738,1176,0.06133056133056133,0.00242550242550242,-0.01524601524601521,0.19821428571428568,0.10914760914760913,-0.5833333333333334,-0.6058823529411765,0.1153846153846154,0.03846153846153846,0.6153846153846154,0.8125,0.7307692307692307,0,0.41666666666666663,0.05405405405405406,0.03603603603603603,0.6306306306306306,0.6142857142857143,0.6216216216216216,0.5833333333333334,1,6,2,52,32,26,12,0,1,10,6,4,111,70,43,26,7,12,17,1
23.2,21.3,180,175,1,0,0,1,0,0,144,325,57,805,-0.92676203174145,-480,0.02702702702702703,-0.00707850707850707,0.10424710424710426,-0.19333333333333336,-0.0926640926640927,0.5,0.33653846153846156,0.02702702702702703,0.04054054054054054,0.6756756756756757,0.64,0.6216216216216216,0.5,1,0,0.04761904761904761,0.5714285714285714,0.8333333333333334,0.7142857142857143,0,0.5,2,3,74,50,32,14,3,6,13,0,2,42,24,20,10,0,1,8,0
29.7,24.3,185,183,1,0,0,0,1,0,80,562,230,179,1.05605267424931,383,0.01218971631205673,4.432624113475184e-4,0.0866578014184397,0.1700879765395894,0.15093085106382975,0.2727272727272727,-0.4107142857142857,0.0851063829787234,0.02127659574468085,0.6595744680851063,0.8064516129032258,0.7446808510638298,1,0.2727272727272727,0.07291666666666667,0.02083333333333333,0.5729166666666666,0.6363636363636364,0.59375,0.7272727272727273,0,4,1,47,31,25,10,3,3,8,7,2,96,55,35,22,8,11,14,1
29.3,23.7,183,185,1,0,0,1,0,0,63,763,37,995,-0.532216813747308,-232,-0.02034776174620791,-7.399186089530156e-4,0.0608583055863855,-0.05114345114345109,0.02164261931187561,0.16666666666666669,0.04575163398692808,0.01886792452830188,0.01886792452830188,0.6981132075471698,0.7027027027027027,0.6981132075471698,0.5,0.6666666666666667,0.0392156862745098,0.0196078431372549,0.6372549019607843,0.7538461538461538,0.6764705882352942,0.3333333333333333,0.5,1,1,53,37,26,11,1,2,9,4,2,102,65,49,20,1,3,17,0
20.2,25.3,173,185,1,0,0,1,0,0,138,336,12,1920,-2.4423470353692,-1584,-0.01307115253466696,-0.05080700159127074,0.08888383723573534,0.016156462585034,0.03546260513753119,-0.15909090909090906,-0.5294117647058824,0.04716981132075472,0.00943396226415094,0.6792452830188679,0.7916666666666666,0.6981132075471698,0.75,0.09090909090909094,0.06024096385542168,0.06024096385542168,0.5903614457831325,0.7755102040816326,0.6626506024096386,0.9090909090909092,0.25,5,1,106,72,57,17,6,8,17,5,5,83,49,38,17,10,11,11,0
21.5,25.7,175,190,1,0,0,1,0,0,27,1298,4,2606,-1.90954250488444,-1308,0.03069211151174039,0.02154603816726761,0.02427227156802386,-0.00541125541125531,-0.0599771348166388,-0.1428571428571429,0.09523809523809525,0.0963855421686747,0.03614457831325301,0.5060240963855421,0.7976190476190477,0.6626506024096386,0.8571428571428571,0,0.06569343065693431,0.0145985401459854,0.4817518248175182,0.803030303030303,0.7226277372262774,1,0.1428571428571429,8,3,83,42,33.5,21.5,3,3.5,10.5,4.5,1,68.5,33,26.5,23,2.5,2.5,10.5,0
21.3,23.5,175,188,1,0,0,1,0,0,57,805,15,1748,-1.33500106673234,-943,-0.06141826923076923,-0.01466346153846154,0.06418269230769236,-0.02693553135119231,-0.03605769230769229,-0.380952380952381,-0.03333333333333332,0.0078125,0.046875,0.671875,0.7325581395348837,0.65625,0.3333333333333333,0.2857142857142857,0.06923076923076923,0.06153846153846154,0.6076923076923076,0.759493670886076,0.6923076923076923,0.7142857142857143,0.6666666666666667,0.5,3,64,43,31.5,10.5,1,3,10,4.5,4,65,39.5,30,15,2.5,3.5,10.5,0
29.7,18.8,185,180,1,0,0,1,0,0,80,562,25,1429,-1.16315080980568,-867,0.07801418439716312,-0.01378483667965238,0.04644890620317643,0.02197802197802201,0.03286384976525813,0.06730769230769229,-0.10144927536231883,0.07801418439716312,0.0425531914893617,0.5957446808510638,0.7142857142857143,0.6666666666666666,0.6923076923076923,0.375,0,0.05633802816901408,0.5492957746478874,0.6923076923076923,0.6338028169014085,0.625,0.3076923076923077,5.5,3,70.5,42,30,17,4.5,6.5,11.5,0,4,71,39,27,18,5,8,12,0
25.3,23.7,185,185,1,0,0,1,0,0,12,1920,37,995,1.12601126285622,925,0.00559615511225228,0.03838304035815393,-0.02501810520771608,0.04963084495488101,0.0189610902626901,0.2280701754385965,0.3630952380952381,0.06024096385542168,0.06024096385542168,0.5542168674698795,0.8043478260869565,0.6746987951807228,0.8947368421052632,0.33333333333333337,0.0546448087431694,0.02185792349726776,0.5792349726775956,0.7547169811320755,0.6557377049180327,0.6666666666666666,0.10526315789473684,5,5,83,46,37,19,8.5,9.5,12,5,2,91.5,53,40,20,4,6,14,0
